iter	MultiClass
0	1.384559059
1	1.380895717
2	1.375635438
3	1.374400439
4	1.37384385
5	1.373022258
6	1.37281045
7	1.372244866
8	1.370757704
9	1.369681086
10	1.366476451
11	1.365205046
12	1.362987899
13	1.362871463
14	1.362693002
15	1.361908854
16	1.361640335
17	1.359724382
18	1.359692448
19	1.359000534
20	1.357928817
21	1.355414058
22	1.354672293
23	1.353478019
24	1.350291176
25	1.347844235
26	1.346871016
27	1.345606851
28	1.342684478
29	1.342670014
30	1.341618013
31	1.339699003
32	1.338302351
33	1.336243829
34	1.334796323
35	1.334588286
36	1.333097782
37	1.329646508
38	1.328476782
39	1.327492954
40	1.324566006
41	1.324053336
42	1.323759467
43	1.32285361
44	1.322535163
45	1.321071847
46	1.32104083
47	1.32048145
48	1.319105197
49	1.318327034
50	1.318031283
51	1.314773345
52	1.31365416
53	1.312564142
54	1.310588449
55	1.310163602
56	1.309334603
57	1.307061858
58	1.303533243
59	1.302284655
60	1.301378396
61	1.300567037
62	1.299379604
63	1.299363091
64	1.296538469
65	1.296190104
66	1.295114032
67	1.294035471
68	1.293969188
69	1.290396684
70	1.289884168
71	1.287372663
72	1.28663762
73	1.286399883
74	1.286397835
75	1.286279047
76	1.285904462
77	1.284962167
78	1.284464832
79	1.281761763
80	1.279143782
81	1.278545194
82	1.278234615
83	1.276328846
84	1.276099862
85	1.274940863
86	1.273738693
87	1.271490992
88	1.270793268
89	1.269765945
90	1.268530851
91	1.26689123
92	1.264980041
93	1.263978085
94	1.262723874
95	1.262312988
96	1.260018799
97	1.258659668
98	1.257081975
99	1.255264136
100	1.254110451
101	1.253196686
102	1.252409431
103	1.251452438
104	1.250896388
105	1.249845656
106	1.248749195
107	1.247631763
108	1.24697725
109	1.2457795
110	1.242920552
111	1.241256196
112	1.239801624
113	1.238433584
114	1.237820984
115	1.236022051
116	1.234549392
117	1.234548185
118	1.233677577
119	1.232443493
120	1.232146257
121	1.227476327
122	1.227328578
123	1.225142329
124	1.224483869
125	1.222156388
126	1.219749299
127	1.218517473
128	1.218516695
129	1.217316068
130	1.215303124
131	1.213587574
132	1.212723482
133	1.212709301
134	1.210355878
135	1.207911715
136	1.206381598
137	1.204344511
138	1.202502901
139	1.199362217
140	1.198587268
141	1.197578642
142	1.197306784
143	1.195215799
144	1.194320923
145	1.193160721
146	1.191851837
147	1.191608939
148	1.190276429
149	1.187932662
150	1.185535396
151	1.184571065
152	1.183670394
153	1.181593367
154	1.179661206
155	1.178832528
156	1.175894334
157	1.17453612
158	1.173476121
159	1.170787778
160	1.168672924
161	1.167690254
162	1.16625847
163	1.16408352
164	1.163217052
165	1.161093719
166	1.158405308
167	1.157180482
168	1.154362711
169	1.152538348
170	1.150584922
171	1.147860019
172	1.145273621
173	1.144471122
174	1.143515958
175	1.143175528
176	1.141882185
177	1.139541897
178	1.13670511
179	1.135181011
180	1.133009721
181	1.131672844
182	1.129027023
183	1.128138462
184	1.125753245
185	1.122964147
186	1.121961624
187	1.119457644
188	1.117503967
189	1.116254993
190	1.115040192
191	1.113296617
192	1.111679399
193	1.110603502
194	1.108627722
195	1.107227705
196	1.105791328
197	1.10394853
198	1.101506197
199	1.099723156
200	1.097802783
201	1.097575765
202	1.095375886
203	1.09356863
204	1.090578995
205	1.089873186
206	1.088679907
207	1.085540958
208	1.083004468
209	1.080756155
210	1.07789962
211	1.075342796
212	1.073918
213	1.07269413
214	1.070550175
215	1.069285777
216	1.068433989
217	1.067489998
218	1.066008649
219	1.064583501
220	1.062632539
221	1.061309291
222	1.060276309
223	1.058924313
224	1.057907102
225	1.056461626
226	1.054892309
227	1.052788929
228	1.051746486
229	1.050100479
230	1.047667079
231	1.046096973
232	1.043870514
233	1.041620873
234	1.041136036
235	1.040412386
236	1.039674332
237	1.038458456
238	1.036508653
239	1.03450889
240	1.033910003
241	1.032443261
242	1.032030827
243	1.030721168
244	1.029653969
245	1.027960421
246	1.026505838
247	1.024776802
248	1.024082333
249	1.022705718
250	1.021513284
251	1.01970958
252	1.018145723
253	1.017083786
254	1.016040678
255	1.015504067
256	1.013498715
257	1.010782579
258	1.010100052
259	1.008782578
260	1.006530898
261	1.004479915
262	1.003273287
263	1.000857342
264	0.9993514194
265	0.9974883756
266	0.9970359332
267	0.9954222082
268	0.9929963002
269	0.990596471
270	0.9900684428
271	0.988030496
272	0.987102435
273	0.9854945823
274	0.9840219444
275	0.982950288
276	0.9807761656
277	0.9795615609
278	0.9778138249
279	0.9762204213
280	0.9743617396
281	0.9732852633
282	0.9725566173
283	0.9715766658
284	0.9707020612
285	0.9694660738
286	0.9683641787
