iter	Passed	Remaining
0	7	6140
1	13	5247
2	17	4564
3	20	4061
4	23	3713
5	26	3457
6	27	3122
7	29	2944
8	31	2811
9	35	2777
10	37	2682
11	39	2573
12	41	2496
13	42	2378
14	43	2260
15	44	2203
16	47	2172
17	50	2198
18	51	2099
19	52	2064
20	54	2035
21	56	2010
22	59	2014
23	62	2004
24	63	1982
25	65	1958
26	67	1939
27	69	1917
28	71	1899
29	72	1852
30	73	1827
31	75	1813
32	77	1801
33	80	1812
34	82	1798
35	83	1761
36	85	1754
37	87	1748
38	89	1742
39	91	1730
40	93	1724
41	94	1706
42	95	1683
43	97	1667
44	98	1646
45	100	1640
46	100	1617
47	102	1607
48	104	1600
49	105	1579
50	106	1563
51	108	1559
52	111	1565
53	113	1564
54	115	1562
55	117	1557
56	119	1552
57	120	1546
58	122	1543
59	124	1538
60	126	1533
61	128	1524
62	129	1516
63	130	1500
64	132	1495
65	134	1490
66	135	1486
67	138	1488
68	139	1475
69	140	1470
70	143	1471
71	145	1472
72	147	1468
73	148	1461
74	149	1446
75	150	1435
76	152	1430
77	154	1429
78	156	1424
79	158	1423
80	159	1418
81	161	1413
82	162	1405
83	164	1406
84	166	1396
85	167	1393
86	169	1389
87	171	1387
88	173	1385
89	175	1384
90	177	1382
91	179	1380
92	181	1378
93	183	1379
94	185	1374
95	187	1376
96	189	1373
97	191	1372
98	193	1370
99	195	1368
100	197	1366
101	199	1364
102	201	1362
103	203	1359
104	204	1356
105	206	1354
106	209	1353
107	211	1352
108	212	1348
109	214	1347
110	216	1345
111	218	1342
112	220	1341
113	222	1337
114	223	1333
115	225	1332
116	227	1330
117	228	1321
118	230	1318
119	232	1315
120	233	1307
121	235	1306
122	236	1300
123	238	1298
124	239	1295
125	241	1294
126	244	1294
127	246	1292
128	246	1284
129	248	1282
130	250	1279
131	252	1277
132	254	1274
133	254	1267
134	256	1265
135	258	1263
136	261	1266
137	263	1263
138	265	1262
139	267	1260
140	269	1258
141	271	1256
142	272	1254
143	274	1252
144	277	1252
145	278	1249
146	281	1250
147	283	1248
148	285	1246
149	287	1245
150	290	1247
151	291	1244
152	294	1244
153	296	1243
154	299	1247
155	301	1244
156	303	1242
157	305	1241
158	307	1240
159	309	1239
160	311	1236
161	313	1236
162	315	1234
163	318	1234
164	322	1239
165	324	1240
166	326	1238
167	328	1237
168	330	1235
169	332	1233
170	334	1231
171	337	1230
172	339	1228
173	340	1226
174	343	1225
175	345	1224
176	347	1222
177	349	1220
178	351	1217
179	353	1216
180	355	1214
181	357	1213
182	359	1212
183	362	1212
